# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
pgxl2;60;1440519747;xvda;70.45;0.00;1380.42;19.59;0.06;0.84;0.50;3.51
pgxl2;60;1440519747;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440519807;xvda;698.53;1.10;177552.67;254.18;154.07;220.18;1.43;99.84
pgxl2;60;1440519807;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440519867;xvda;550.30;0.00;128285.02;233.12;197.89;360.08;1.43;78.46
pgxl2;60;1440519867;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440519927;xvda;80.32;0.00;1457.37;18.15;0.07;0.82;0.50;4.03
pgxl2;60;1440519927;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440519987;xvda;13.57;0.00;265.32;19.56;0.01;0.87;0.49;0.66
pgxl2;60;1440519987;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520047;xvda;0.60;0.00;8.70;14.50;0.00;0.86;0.22;0.01
pgxl2;60;1440520047;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520107;xvda;57.15;0.00;992.10;17.36;0.05;0.82;0.50;2.88
pgxl2;60;1440520107;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520167;xvda;42.13;0.00;756.02;17.94;0.04;0.85;0.50;2.10
pgxl2;60;1440520167;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520227;xvda;3.12;34.00;73.05;34.35;0.00;1.03;0.51;0.16
pgxl2;60;1440520227;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520287;xvda;19.63;0.00;330.93;16.86;0.02;0.81;0.48;0.94
pgxl2;60;1440520287;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520347;xvda;19.33;1.47;326.12;16.94;0.02;0.87;0.51;0.98
pgxl2;60;1440520347;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520407;xvda;0.93;0.00;14.32;15.34;0.00;0.82;0.30;0.03
pgxl2;60;1440520407;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520467;xvda;35.02;0.00;594.13;16.97;0.03;0.80;0.51;1.77
pgxl2;60;1440520467;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520527;xvda;48.48;0.00;883.03;18.21;0.04;0.82;0.51;2.46
pgxl2;60;1440520527;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520587;xvda;270.72;0.00;60772.55;224.49;44.45;157.91;1.19;32.22
pgxl2;60;1440520587;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
pgxl2;60;1440520647;xvda;673.45;59.47;169501.97;251.78;207.27;298.77;1.48;100.00
pgxl2;60;1440520647;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
