# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl3;60;1440519747;-617.05;0.00;76.82
pgxl3;60;1440519807;56.63;0.00;1.05
pgxl3;60;1440519867;-58.10;0.00;3.07
pgxl3;60;1440519927;-90.02;0.00;27.28
pgxl3;60;1440519987;102.45;0.00;14.98
pgxl3;60;1440520047;-0.63;0.00;0.15
pgxl3;60;1440520107;-118.02;0.00;16.40
pgxl3;60;1440520167;11.57;0.00;8.93
pgxl3;60;1440520227;75.53;0.00;3.95
pgxl3;60;1440520287;-63.13;0.00;3.97
pgxl3;60;1440520347;-12.55;0.00;12.20
pgxl3;60;1440520407;127.02;0.00;-56.50
pgxl3;60;1440520467;-78.40;0.00;8.55
pgxl3;60;1440520527;-65.63;0.00;9.97
pgxl3;60;1440520587;9.15;0.00;6.87
pgxl3;60;1440520647;274.03;0.00;1.78
